HAT_KODU,DURAK_ID,BINIS_SAYISI
00200,10628,11
00200,10629,1
00200,10631,2
00200,10632,1
00200,10634,4
00200,10639,1
00200,10640,2
00200,10652,2
00200,10654,1
00200,10664,1
00200,10666,9
00200,10667,1
00200,10668,2
00200,10672,2
00200,11853,3
00200,11855,1
00200,11862,1
00200,13016,3
00200,13020,82
00200,20060,4
00200,20134,6
00200,20144,5
00200,20148,3
00200,20152,5
00200,20153,5
00200,20154,2
00200,20158,3
00200,20161,1
00200,20162,4
00200,20166,4
00200,20186,2
00200,20192,23
00200,20194,6
00200,20196,5
00200,20198,2
00200,20352,4
00200,20354,2
00200,20356,1
00200,20382,48
00200,22050,3
00200,22051,2
00200,22052,1
00200,22053,1
00200,99999,61
00202,10102,5
00202,10177,11
00202,10178,1
00202,10185,9
00202,10189,2
00202,10190,1
00202,10191,6
00202,10192,1
00202,10193,1
00202,10194,1
00202,10195,3
00202,10197,14
00202,10199,4
00202,10201,3
00202,10202,2
00202,10210,39
00202,10664,4
00202,10666,2
00202,10667,2
00202,10668,2
00202,10676,2
00202,13016,5
00202,13020,199
00202,50007,95
00202,50009,22
00202,50907,3
00202,99999,38
00204,10659,1
00204,10664,2
00204,10665,2
00204,10667,1
00204,10668,2
00204,10670,1
00204,10672,1
00204,10674,2
00204,10676,1
00204,13016,4
00204,13018,2
00204,13020,222
00204,30001,94
00204,30255,1
00204,30511,149
00204,99999,62
00315,30014,75
00315,30373,2
00315,30378,2
00315,30940,4
00315,30942,2
00315,30944,2
00315,30945,1
00315,30946,28
00315,30947,58
00315,31279,31
00315,31280,1
00315,31281,18
00315,31282,6
00315,99999,19
00720,10657,18
00720,10659,3
00720,10661,24
00720,10663,23
00720,10664,1
00720,10665,27
00720,10667,192
00720,10669,5
00720,10671,7
00720,10675,2
00720,10677,1
00720,10763,4
00720,10764,1
00720,10772,1
00720,10775,4
00720,10776,2
00720,10777,1
00720,10789,2
00720,10791,4
00720,10794,3
00720,10798,5
00720,10799,2
00720,10800,4
00720,10801,3
00720,10802,3
00720,10803,1
00720,10806,21
00720,10807,17
00720,10808,4
00720,10812,12
00720,10813,2
00720,10814,3
00720,10815,2
00720,10818,1
00720,10820,37
00720,10821,1
00720,10826,2
00720,10830,3
00720,10831,4
00720,10832,2
00720,10833,3
00720,10834,7
00720,10836,2
00720,10838,4
00720,10839,1
00720,10840,1
00720,10842,6
00720,10844,5
00720,10845,1
00720,10846,1
00720,10848,12
00720,11458,72
00720,11460,23
00720,11461,2
00720,11462,9
00720,11463,1
00720,11464,13
00720,11466,22
00720,11467,1
00720,11468,9
00720,11470,20
00720,11471,2
00720,11472,8
00720,11473,1
00720,11474,2
00720,11476,3
00720,11478,4
00720,11480,22
00720,11481,1
00720,11482,24
00720,11484,88
00720,11485,1
00720,11486,12
00720,11488,113
00720,11537,2
00720,11538,13
00720,11540,54
00720,11552,69
00720,11554,20
00720,11556,117
00720,11566,52
00720,11569,56
00720,13368,161
00720,99999,677
00725,50009,54
00725,50010,3
00725,50011,19
00725,50012,10
00725,50013,40
00725,50014,12
00725,50015,12
00725,50017,8
00725,50018,8
00725,50019,30
00725,50020,4
00725,50021,9
00725,50022,9
00725,50023,26
00725,50025,6
00725,50026,3
00725,50027,16
00725,50028,1
00725,50029,8
00725,50030,1
00725,50031,8
00725,50033,13
00725,50034,9
00725,50035,13
00725,50036,10
00725,50037,19
00725,50038,3
00725,50039,13
00725,50040,2
00725,50041,6
00725,50042,2
00725,50043,3
00725,50044,1
00725,50045,9
00725,50046,9
00725,50049,1
00725,50057,6
00725,50059,3
00725,50060,1
00725,50062,2
00725,50063,2
00725,50065,2
00725,50067,4
00725,50068,3
00725,50069,1
00725,50070,3
00725,50071,1
00725,50072,2
00725,50075,2
00725,50077,1
00725,50080,1
00725,50081,3
00725,50083,7
00725,50084,10
00725,50086,2
00725,50087,2
00725,50088,3
00725,50089,16
00725,50090,3
00725,50092,3
00725,50094,14
00725,50097,2
00725,50098,3
00725,50099,3
00725,50100,6
00725,50101,6
00725,50103,1
00725,50104,5
00725,50105,1
00725,50106,7
00725,50108,9
00725,50110,3
00725,50111,1
00725,50113,2
00725,50114,6
00725,50117,3
00725,50118,16
00725,50120,16
00725,50122,24
00725,50523,1
00725,50524,1
00725,50526,1
00725,50528,4
00725,50529,2
00725,50530,4
00725,50531,1
00725,50532,10
00725,50533,2
00725,50534,9
00725,50535,2
00725,50536,30
00725,50537,1
00725,50538,14
00725,50539,5
00725,50540,19
00725,50541,1
00725,50542,39
00725,50543,11
00725,50545,9
00725,50560,62
00725,50561,4
00725,50564,5
00725,50566,5
00725,50576,12
00725,50577,1
00725,50578,29
00725,50580,33
00725,50582,10
