HAT_KODU,BINIS_SAYISI
00200,82
00202,199
00204,222
00315,75
00720,677
00725,471
00730,331
00735,104
00744,668
00745,366
00753,13
00765,809
00766,6
00770,36
00775,353
00776,364
00777,99
00888,75
00999,3
20051,1138
20061,829
20071,734
20081,1574
20091,24
20111,330
20121,1749
20141,1692
20151,639
20161,198
20171,370
20181,1912
20191,926
20201,1184
20211,1570
20231,2703
20241,22
20251,772
20261,300
20271,1957
20281,13
20291,1571
20301,1283
20321,101
20331,1805
20341,946
20351,1333
20361,511
20371,207
20381,1153
20391,420
20421,2333
20431,122
20441,1341
20451,1423
20461,2093
20531,1186
20541,764
20571,670
20581,48
20591,71
20601,1450
20611,88
20621,99
20631,1558
20641,815
20671,753
20701,1396
20711,177
20721,1226
20731,779
20741,857
20771,321
20781,466
20791,1092
20821,1072
20841,104
20871,815
20881,783
20891,97
20901,1082
20921,190
21021,67
21041,1095
21051,1158
21071,54
21081,149
21091,139
21111,739
21112,1
21141,326
21161,93
21171,148
21191,108
21201,359
21211,1385
21221,151
21231,72
21241,28
21251,474
21261,145
21281,446
21301,210
21311,172
21351,187
21361,349
21371,200
21401,500
21471,321
21481,386
21491,656
21521,2727
21531,250
21541,74
21561,130
21571,431
21581,686
21611,613
21621,899
21631,539
21651,255
21671,19
21681,1258
21691,2706
21701,60
21711,1646
21761,126
21771,95
21901,825
21911,415
21931,1775
21971,298
21981,142
22011,462
22051,752
22091,2440
22141,272
22161,447
22221,135
22241,1040
22251,598
22271,466
22351,23
22471,271
22481,228
22491,774
22501,1149
22541,757
22581,581
22671,379
22681,4510
22691,1846
22731,826
22741,149
22751,283
22771,146
22851,1212
22951,523
22991,516
23001,492
23051,602
23111,1432
23141,1410
23171,554
23201,424
23261,298
23291,454
23301,1705
23421,733
23441,885
23461,838
23611,663
23681,730
23721,49
23741,1030
23761,956
24121,1450
24231,22
24281,419
24291,329
24301,41
24351,220
24411,125
24421,36
24431,724
24451,677
24461,646
24471,279
24491,468
24501,459
24601,486
24611,136
24761,515
24771,287
24801,439
24861,91
24871,247
24981,144
25011,65
25021,518
25031,221
25041,18
25051,941
25061,42
25101,580
25141,1236
25151,2037
25181,298
25201,106
25231,730
25241,798
25251,10919
25501,1793
25541,852
25551,93
25561,220
25601,1219
25641,1910
25651,4883
25681,1992
25761,439
25791,592
25831,70
25851,1702
25871,1423
25881,334
25951,121
25991,498
26041,245
26071,349
26121,83
26131,52
26621,244
26711,661
26761,168
26991,247
27171,231
27181,460
27211,43
27221,174
27231,102
27241,119
27271,138
27281,387
27291,65
27321,8
27331,26
27341,22
27361,10
27371,12
27381,13
27411,17
27421,12
27471,221
27481,466
27491,143
27501,716
27511,492
27512,111
27521,152
27541,23
27551,15
27671,113
27681,24
27691,31
27791,3
27821,58
27831,17
27841,31
27851,44
27861,57
27871,39
27881,20
27891,23
27921,53
28041,497
28051,266
28081,1219
28091,155
28101,188
28111,29
28171,76
28181,32
28201,660
28211,59
28221,118
28231,210
28251,4
28271,359
28281,264
28291,251
28471,46
28501,235
28531,318
28631,36
28661,415
28701,210
28711,728
28741,369
28751,332
28761,325
28771,244
28781,19
28791,250
28861,420
28871,1207
28891,1581
28911,248
29451,141
29691,1718
29701,3011
29711,952
29801,3069
29861,2659
31111,1
31112,422
44401,3027
44402,3243
44403,4678
44404,3016
44405,1333
44406,2644
44407,2951
44408,1685
44409,7553
44410,5211
44411,9791
44412,6804
44413,2015
44414,5069
44415,936
44416,1864
44417,2723
44418,10421
44419,4434
44420,4841
44421,1747
44422,1495
44423,6584
44424,1845
44425,1612
44426,1596
44427,1982
44428,6022
44429,1000
44430,666
44431,2637
64461,410
65651,292
77701,13620
77702,17991
77703,12320
77704,8936
77705,1402
77706,11010
77707,11006
77708,3025
77709,8294
77710,28738
88801,5426
88802,8961
88803,1661
88804,3347
88805,8779
88806,703
88807,1036
88808,16
90029,29
99999,58
